id,itemName,venue_id,sub_venue_id,serviceCategory_id,feeRules,guestMin,guestMax,includedInVenue,visibleInCalculator,vendor_id,active,service_id,description
34,PCE - Rose + Markisa + Marie,39.0,4.0,2.0,"{""minStay"":[{""nights"":2,""upToGuests"":100},{""nights"":3,""upToGuests"":250}],""taxInfo"":{""rate"":0.155,""included"":true},""eventFee"":[{""weekday"":4115,""weekend"":4462,""upToGuests"":200}],""banjarFee"":{""tiers"":[{""value"":9000000,""currency"":""IDR"",""upToGuests"":200}]},""accommodationRate"":{""low"":5758,""high"":7049}}",80.0,200.0,True,True,,True,,
35,PCE - Pala + Rose,39.0,5.0,2.0,"{""minStay"":[{""nights"":2,""upToGuests"":100},{""nights"":3,""upToGuests"":250}],""taxInfo"":{""rate"":0.155,""included"":true},""eventFee"":[{""weekday"":3873,""weekend"":4156,""upToGuests"":100}],""banjarFee"":{""tiers"":[{""value"":6000000,""currency"":""IDR"",""upToGuests"":50},{""value"":8000000,""currency"":""IDR"",""upToGuests"":100}]},""accommodationRate"":{""low"":4464,""high"":5935}}",20.0,100.0,True,True,,True,,
36,PCE - Markisa + Marie,39.0,6.0,2.0,"{""minStay"":[{""nights"":2,""upToGuests"":100},{""nights"":3,""upToGuests"":250}],""taxInfo"":{""rate"":0.155,""included"":true},""eventFee"":[{""weekday"":2383,""weekend"":2556,""upToGuests"":150}],""banjarFee"":{""tiers"":[{""value"":9000000,""currency"":""IDR"",""upToGuests"":150}]},""accommodationRate"":{""low"":3694,""high"":4514}}",20.0,150.0,True,True,,True,,
37,PCE - Villa Markisa ,39.0,7.0,2.0,"{""minStay"":[{""nights"":2,""upToGuests"":100},{""nights"":3,""upToGuests"":250}],""taxInfo"":{""rate"":0.155,""included"":true},""eventFee"":[{""weekday"":1733,""weekend"":1906,""upToGuests"":100}],""banjarFee"":{""tiers"":[{""value"":5500000,""currency"":""IDR"",""upToGuests"":50},{""value"":7500000,""currency"":""IDR"",""upToGuests"":100}]},""accommodationRate"":{""low"":1847,""high"":2257}}",20.0,100.0,True,True,,True,,
38,PCE - Rose + Markisa,39.0,2.0,2.0,"{""minStay"":[{""nights"":2,""upToGuests"":100},{""nights"":3,""upToGuests"":250}],""taxInfo"":{""rate"":0.155,""included"":true},""eventFee"":[{""weekday"":3465,""weekend"":3812,""upToGuests"":150}],""banjarFee"":{""tiers"":[{""value"":9000000,""currency"":""IDR"",""upToGuests"":150}]},""accommodationRate"":{""low"":3911,""high"":4792}}",20.0,100.0,True,True,,True,,
39,PCE - Villa Rose ,39.0,1.0,2.0,"{""minStay"":[{""nights"":2,""upToGuests"":100},{""nights"":3,""upToGuests"":250}],""taxInfo"":{""rate"":0.155,""included"":true},""eventFee"":[{""weekday"":1733,""weekend"":1906,""upToGuests"":50},{""weekday"":2310,""weekend"":2657,""conditions"":""Minimum 2 villas – venue at The Pala and must be booked with Marie"",""upToGuests"":100}],""banjarFee"":{""tiers"":[{""value"":5500000,""currency"":""IDR"",""upToGuests"":50},{""value"":7500000,""currency"":""IDR"",""upToGuests"":100}]},""accommodationRate"":{""low"":2064,""high"":2535}}",10.0,50.0,True,True,,True,,
40,PCE - Pala + Rose + Markisa,39.0,8.0,2.0,"{""minStay"":[{""nights"":2,""upToGuests"":100},{""nights"":3,""upToGuests"":250}],""taxInfo"":{""rate"":0.155,""included"":true},""eventFee"":[{""weekday"":5605,""weekend"":6062,""upToGuests"":200}],""banjarFee"":{""tiers"":[{""value"":9000000,""currency"":""IDR"",""upToGuests"":200}]},""accommodationRate"":{""low"":6311,""high"":8192}}",20.0,80.0,True,True,,True,,
41,PCE - The Pala ,39.0,10.0,2.0,"{""minStay"":[{""nights"":2,""upToGuests"":100},{""nights"":3,""upToGuests"":250}],""taxInfo"":{""rate"":0.155,""included"":true},""eventFee"":[{""weekday"":1680,""weekend"":1795,""upToGuests"":50},{""weekday"":1910,""weekend"":2024,""upToGuests"":80}],""banjarFee"":{""tiers"":[{""value"":6000000,""currency"":""IDR"",""upToGuests"":50},{""value"":8000000,""currency"":""IDR"",""upToGuests"":100}]},""accommodationRate"":{""low"":2400,""high"":3400}}",10.0,50.0,True,True,,True,,
42,SKY is the Limit - 300,5.0,13.0,6.0,"{""taxInfo"":{""rate"":0.21,""included"":false},""basePriceIDR"":979000000,""minimumRevenue"":{""amount"":850000000,""currency"":""IDR""},""surchargeBySeasonType"":{""high"":37025000,""peak"":37025000,""auspicious"":6160000}}",290.0,300.0,True,True,,True,,
43,SKY is the Limit - 200,5.0,12.0,6.0,"{""taxInfo"":{""rate"":0.21,""included"":false},""basePriceIDR"":740240000,""minimumRevenue"":{""amount"":850000000,""currency"":""IDR""},""surchargeBySeasonType"":{""high"":29092000,""peak"":29092000,""auspicious"":6160000}}",190.0,200.0,True,True,,True,,
44,SKY is the Limit - 100,5.0,11.0,6.0,"{""taxInfo"":{""rate"":0.21,""included"":false},""basePriceIDR"":504560000,""minimumRevenue"":{""amount"":850000000,""currency"":""IDR""},""surchargeBySeasonType"":{""high"":21158000,""peak"":21158000,""auspicious"":6160000}}",80.0,100.0,True,True,,True,,
45,AYANA Villa Wedding,5.0,14.0,6.0,"{""taxInfo"":{""rate"":0.21,""included"":false},""basePriceIDR"":584590000,""minimumRevenue"":{""amount"":544000000,""currency"":""IDR""},""surchargeBySeasonType"":{""high"":13885000,""peak"":13885000,""auspicious"":6160000}}",40.0,50.0,True,True,,True,,
46,Tresna Dream Wedding,5.0,15.0,6.0,"{""taxInfo"":{""rate"":0.21,""included"":false},""basePriceIDR"":286200000,""minimumRevenue"":{""amount"":0,""currency"":""IDR""},""surchargeBySeasonType"":{""high"":13224000,""peak"":13224000,""auspicious"":9840000}}",40.0,50.0,True,True,,True,,
47,Bale Kencana / Asmara Garden,5.0,16.0,6.0,"{""taxInfo"":{""rate"":0.21,""included"":false},""basePriceIDR"":180500000,""minimumRevenue"":{""amount"":0,""currency"":""IDR""},""surchargeBySeasonType"":{""high"":8720000,""peak"":8720000,""auspicious"":6160000}}",20.0,20.0,True,True,,True,,
48,Sweet Escape at Kisik Pier,5.0,17.0,6.0,"{""taxInfo"":{""rate"":0.21,""included"":false},""basePriceIDR"":202000000,""minimumRevenue"":{""amount"":0,""currency"":""IDR""},""surchargeBySeasonType"":{""high"":7934000,""peak"":7934000,""auspicious"":6160000}}",30.0,30.0,True,True,,True,,
49,Wedding organiser fee,0.0,,,,,,False,False,,True,,
50,Tea ceremony,0.0,,,,,,False,False,,True,,
51,Make up and hair do,0.0,,,,,,False,False,,True,,
52,Make up and hair do (up to 8 hours),0.0,,,,,,False,False,,True,,
53,Trial make up and hair do,0.0,,,,,,False,False,,True,,
54,Make up and hair do (no retouch),0.0,,,,,,False,False,,True,,
55,Make up and hair do (with retouch),0.0,,,,,,False,False,,True,,
56,Make up and hair do for bridesmaid or family,0.0,,,,,,False,False,,True,,
57,Three,0.0,,,,,,False,False,,True,,
58,Five,0.0,,,,,,False,False,,True,,
59,Eight,0.0,,,,,,False,False,,True,,
60,Six,0.0,,,,,,False,False,,True,,
61,Eight,0.0,,,,,,False,False,,True,,
62,Twelve,0.0,,,,,,False,False,,True,,
63,Extra hour for Pre-wedding and Engagement,0.0,,,,,,False,False,,True,,
64,Extra hour for Wedding photography,0.0,,,,,,False,False,,True,,
65,Photobooth for 4 hours,0.0,,,,,,False,False,,True,,
66,Photobooth for 6 hours,0.0,,,,,,False,False,,True,,
67,Unlimited Prints,0.0,,,,,,False,False,,True,,
68,Three,0.0,,,,,,False,False,,True,,
69,Five,0.0,,,,,,False,False,,True,,
70,Eight,0.0,,,,,,False,False,,True,,
71,Six,0.0,,,,,,False,False,,True,,
72,Eight,0.0,,,,,,False,False,,True,,
73,Twelve,0.0,,,,,,False,False,,True,,
74,Extra hour for Pre-wedding and Engagement,0.0,,,,,,False,False,,True,,
75,Extra hour for Wedding videography,0.0,,,,,,False,False,,True,,
76,Aerial video shooting,0.0,,,,,,False,False,,True,,
